Item,Links,Genre
Porridge Radio,https://porridgeradio.bandcamp.com/,
Postiljonen,https://soundcloud.com/postiljonen,
Project Mama Earth,,
Rosin Murphy,,
Room306,https://younggiftedwack.bandcamp.com/album/at-doors,
Saint Etienne,,
Sara K.,https://sarak.bandcamp.com/,
Savages,,
Screaming Females,https://screamingfemales.bandcamp.com/,
Se So Neon (새소년),,
Second Still,,
Sharon Van Etten,https://sharonvanetten.bandcamp.com/,
Shin Hae Gyeong (신해경),,
Shiny Toy Guns,,
Sibylle Baier,,
Siouxsie and the Banshees,,
Sixth June,https://sixthjune.bandcamp.com/,
Snail Mail,https://snailmail.bandcamp.com/,
Sneaks,,
Sofia Portanet,https://sofiaportanet.bandcamp.com/,
Soldier's Heart,,
Sorry,,
Squirrel Flower,,
Stereolab,https://stereolab.bandcamp.com/,
Still Corners,https://stillcorners.bandcamp.com/,
Stonefield,,
Subtle Pride,,
Sunflower Bean,,
Tash Sultana,https://tashsultanaaus.bandcamp.com/,
Tellavision,https://tellavision.bandcamp.com/,
Tess Parks,https://tessparks.bandcamp.com/,
The Aces,,
The Big Moon,,
The BSMNT,,
The Courtneys,,
The Cranberries,,
The Dandelion,,
The Dead Weather,,
The Distillers,,
The Dø,,
The Happy Dolls (나미),,
The Innocence Mission,,
The Kills,,
The Marias,,
The Mynabirds,,
The Pierces,,
The Preatures,,
The Pretty Reckless,,
The Raincoats,,
The Raveonettes,,
The Regrettes,,
The Slits,,
The Wild Reeds,,
This Mortal Coil,,
Thunderpussy,,
Tove Lo,,
Trixie Whitley,,
Unloved,,
Valerie June,,
Vendredi sur Mer,,
Vera,,
Voodoo Beach,,
Warhaus,,
Warpaint,https://warpaint.bandcamp.com/,
Waxahatchee,,
Within Temptation,,
Wolf Alice,,
Yasmine Hamdan,,
Yeah Yeah Yeahs,,
Young Summer,,
ZZ Ward,,
ГШ (Glintshake),,
KATE BOY,,
Joss Stone,,
Tracy Chapman,,
